durations,speakers,titles,views,hashtags
18:22,Naif Al-Mutawa,Superheroes inspired by Islam,837K,"Inspiring, Courageous"
18:45,Ashraf Ghani,How to rebuild a broken state,837K,"Informative, Courageous"
17:00,David Kelley,Human-centered design,837K,"Inspiring, Informative"
 9:23,Caitria O'Neill and Morgan O'Neill,How to step up in the face of disaster,836K,"Inspiring, Informative"
18:50,Ameenah Gurib-Fakim and Stephanie Busari,An interview with Mauritius's first female president,836K,"Inspiring, Informative"
19:02,Alberto Cairo,There are no scraps of men,834K,"Inspiring, Courageous"
 5:56,Kayla Briët,Why do I make art? To build time capsules for my heritage,834K,"Inspiring, Beautiful"
12:24,Dixon Chibanda,Why I train grandmothers to treat depression,834K,"Inspiring, Beautiful"
12:27,Julia Bacha,How women wage conflict without violence,833K,"Inspiring, Informative"
14:30,Hasan Elahi,"FBI, here I am!",833K,"Funny, Ingenious"
16:43,Gordon Brown,Wiring a web for global good,833K,"Inspiring, Persuasive"
25:23,His Holiness the Karmapa,The technology of the heart,832K,"Inspiring, Beautiful"
11:41,Nina Dølvik Brochmann and Ellen Støkken Dahl,The virginity fraud,831K,"Informative, Courageous"
 7:20,Ani Liu,"Smelfies, and other experiments in synthetic biology",830K,"Fascinating, Funny"
10:32,Dan Pacholke,How prisons can help inmates live meaningful lives,830K,"Inspiring, Informative"
11:15,Wanda Diaz Merced,How a blind astronomer found a way to hear the stars,827K,"Inspiring, Beautiful"
16:05,"Alicia Garza, Patrisse Cullors, Opal Tometi and Mia Birdsong",An interview with the founders of Black Lives Matter,827K,"Inspiring, Informative"
12:02,Seth Priebatsch,The game layer on top of the world,825K,"Fascinating, Informative"
 9:39,Nancy Lublin,How data from a crisis text line is saving lives,824K,"Inspiring, Beautiful"
16:40,Rob Hopkins,Transition to a world without oil,824K,"Inspiring, Informative"
14:40,Francis Collins,We need better drugs — now,824K,"Informative, Inspiring"
16:40,Jorge Drexler,"Poetry, music and identity",823K,"Beautiful, Inspiring"
15:23,Ngozi Okonjo-Iweala,How Africa can keep rising,823K,"Inspiring, Informative"
10:58,Raghava KK,What's your 200-year plan?,823K,"Inspiring, Beautiful"
15:27,Raspyni Brothers,Juggle and jest,822K,"Funny, Fascinating"
11:57,Chance Coughenour,How your pictures can help reclaim lost history,821K,"Inspiring, Ingenious"
15:19,Nandan Nilekani,Ideas for India's future,820K,"Informative, Inspiring"
 9:30,Scott Williams,The hidden role informal caregivers play in health care,819K,"Inspiring, Informative"
10:41,Georgette Mulheir,The tragedy of orphanages,819K,"Informative, Persuasive"
 2:15,Murray Gell-Mann,The ancestor of language,818K,"Informative, Fascinating"
13:33,Eric Liu,There's no such thing as not voting,818K,"Inspiring, Persuasive"
16:48,Bill Ford,A future beyond traffic gridlock,818K,"Informative, Inspiring"
12:49,Fredros Okumu,Why I study the most dangerous animal on earth — mosquitoes,817K,"Informative, Fascinating"
 6:10,Bhu Srinivasan,Capitalism isn't an ideology — it's an operating system,816K,"Informative, Persuasive"
12:57,Christian Benimana,The next generation of African architects and designers,814K,"Inspiring, Informative"
11:37,Tiffany Kagure Mugo and Siphumeze Khundayi,"How to have a healthier, positive relationship to sex",813K,"Informative, Funny"
10:56,Stuart Duncan,How I use Minecraft to help kids with autism,812K,"Inspiring, Beautiful"
 3:05,Qi Zhang,An electrifying organ performance,811K,"Beautiful, Fascinating"
 5:43,Soyapi Mumba,Medical tech designed to meet Africa's needs,811K,"Inspiring, Courageous"
17:07,Andrew Mwenda,Aid for Africa? No thanks.,810K,"Persuasive, Informative"
 5:55,Danielle de Niese,A flirtatious aria,809K,"Beautiful, Fascinating"
17:06,Arik Hartmann,Our treatment of HIV has advanced. Why hasn't the stigma changed?,808K,"Courageous, Informative"
17:40,Garth Lenz,The true cost of oil,808K,"Persuasive, Informative"
18:03,Emmanuel Jal,The music of a war child,807K,"Inspiring, Courageous"
15:59,C. Noel Bairey Merz,The single biggest health threat women face,807K,"Informative, Persuasive"
 4:44,James Burchfield,Playing invisible turntables,806K,"Fascinating, Funny"
 7:50,Aparna Rao,High-tech art (with a sense of humor),806K,"Ingenious, Fascinating"
10:09,Sō Percussion,"""Music for Wood and Strings""",806K,"Funny, Inspiring"
22:39,David Carson,Design and discovery,804K,"Fascinating, Informative"
 4:56,Gabriel Barcia-Colombo,My DNA vending machine,804K,"Informative, Persuasive"
 7:44,Al Gore,What comes after An Inconvenient Truth?,804K,"Inspiring, Informative"
 7:56,Peter van Manen,Better baby care — thanks to Formula 1,803K,"Informative, Inspiring"
10:43,Sangeeta Bhatia,This tiny particle could roam your body to find tumors,802K,"Fascinating, Funny"
 2:21,Matthew White,The modern euphonium,801K,"Inspiring, Courageous"
10:41,Ilona Stengel,The role of human emotions in science and research,801K,"Informative, Fascinating"
16:52,Nick Bostrom,A philosophical quest for our biggest problems,800K,"Ingenious, Fascinating"
 6:29,Onyx Ashanti,This is beatjazz,800K,"Persuasive, Informative"
19:02,Jason McCue,Terrorism is a failed brand,800K,"Beautiful, Inspiring"
10:34,Deborah Willis and Hank Willis Thomas,A mother and son united by love and art,800K,"Informative, Persuasive"
 5:45,Margaret Gould Stewart,How YouTube thinks about copyright,799K,"Courageous, Inspiring"
 8:29,Sitawa Wafula,Why I speak up about living with epilepsy,798K,"Informative, Fascinating"
16:10,Edward Tenner,Unintended consequences,798K,"Inspiring, Courageous"
17:46,Bertrand Piccard,My solar-powered adventure,798K,"Informative, Fascinating"
10:56,Oscar Schwartz,Can a computer write poetry?,797K,"Inspiring, Informative"
18:58,Charles Leadbeater,Education innovation in the slums,797K,"Fascinating, Funny"
 8:38,George Dyson,The story of Project Orion,797K,"Ingenious, Fascinating"
13:41,Mohamad Jebara,This company pays kids to do their math homework,796K,"Informative, Persuasive"
 9:25,Bill Davenhall,Your health depends on where you live,795K,"Beautiful, Inspiring"
 9:21,Robert Gupta and Joshua Roman,"On violin and cello, ""Passacaglia""",794K,"Inspiring, Beautiful"
 7:57,Christopher Ategeka,How adoption worked for me,793K,"Informative, Fascinating"
12:29,Robert Neuwirth,The power of the informal economy,792K,"Beautiful, Inspiring"
15:38,Jake Barton,The museum of you,790K,"Informative, Persuasive"
16:33,Nicholas Stern,The state of the climate — and what we might do about it,790K,"Inspiring, Informative"
20:37,Alan Kay,A powerful idea about ideas,790K,"Informative, Persuasive"
19:48,Adam Davidson,What we learned from teetering on the fiscal cliff,790K,"Inspiring, Persuasive"
13:12,Beeban Kidron,The shared wonder of film,789K,"Inspiring, Beautiful"
 5:10,Wanuri Kahiu,"Fun, fierce and fantastical African art",789K,"Fascinating, Informative"
17:59,Taryn Simon,The stories behind the bloodlines,789K,"Inspiring, Beautiful"
 9:49,Becci Manson,(Re)touching lives through photos,788K,"Informative, Fascinating"
14:28,Cheryl Hayashi,The magnificence of spider silk,788K,"Inspiring, Funny"
15:27,Gary Vaynerchuk,Do what you love (no excuses!),787K,"Informative, Persuasive"
 6:13,Catherine Mohr,The tradeoffs of building green,786K,"Inspiring, Persuasive"
14:48,Mae Jemison,Teach arts and sciences together,786K,"Courageous, Inspiring"
15:17,Lemn Sissay,A child of the state,785K,"Inspiring, Informative"
14:10,Paul Bennett,Design is in the details,785K,"Inspiring, Informative"
17:08,Gail Reed,Where to train the world's doctors? Cuba.,784K,"Inspiring, Beautiful"
14:54,Yann Arthus-Bertrand,A wide-angle view of fragile Earth,783K,"Funny, Fascinating"
 6:04,Heather Knight,Silicon-based comedy,782K,"Funny, Inspiring"
12:32,Patrick Chappatte,The power of cartoons,782K,"Inspiring, Informative"
31:57,Norman Foster,My green agenda for architecture,782K,"Informative, Courageous"
16:11,Charmian Gooch,My wish: To launch a new era of openness in business,781K,"Inspiring, Beautiful"
 4:45,Stefan Sagmeister,Things I've learned in my life so far,781K,"Informative, Inspiring"
21:46,Paul Sereno,Digging up dinosaurs,781K,"Fascinating, Beautiful"
 6:01,Tierney Thys and Plankton Chronicles Project,The secret life of plankton,780K,"Inspiring, Courageous"
18:03,Ben Saunders,Why did I ski to the North Pole?,780K,"Informative, Fascinating"
 7:20,Michael Stevens,How much does a video weigh?,780K,"Informative, Fascinating"
16:26,Andrea Ghez,The hunt for a supermassive black hole,779K,"Funny, Fascinating"
15:33,Golan Levin,Art that looks back at you,779K,"Fascinating, Informative"
12:07,Gregory Heyworth,How I'm discovering the secrets of ancient texts,779K,"Informative, Inspiring"
16:34,John Gerzema,The post-crisis consumer,778K,"Informative, Inspiring"
13:46,Kristen Marhaver,How we're growing baby corals to rebuild reefs,778K,"Funny, Inspiring"
 4:27,Sam Martin,"Claim your ""manspace""",777K,"Courageous, Inspiring"
15:30,Jean-Paul Mari,The chilling aftershock of a brush with death,777K,"Informative, Persuasive"
 6:04,Jon Gosier,"The problem with ""trickle-down techonomics""",777K,"Inspiring, Courageous"
19:24,John Francis,Walk the earth ... my 17-year vow of silence,776K,"Informative, Fascinating"
19:05,Bruce Bueno de Mesquita,A prediction for the future of Iran,776K,"Informative, Persuasive"
17:52,Yochai Benkler,The new open-source economics,776K,"Inspiring, Persuasive"
 9:54,Karen Armstrong,Let's revive the Golden Rule,775K,"Fascinating, Ingenious"
 6:33,Leah Buechley,"How to ""sketch"" with electronics",775K,"Inspiring, Informative"
17:34,Howard C. Stevenson,How to resolve racially stressful situations,774K,"Informative, Persuasive"
18:58,Steven Levitt,Surprising stats about child carseats,774K,"Inspiring, Persuasive"
14:33,Alex Tabarrok,How ideas trump crises,774K,"Inspiring, Beautiful"
14:22,Jose Miguel Sokoloff,How Christmas lights helped guerrillas put down their guns,773K,"Informative, Persuasive"
 8:21,Francis de los Reyes,Sanitation is a basic human right,771K,"Informative, Persuasive"
15:47,Daniel Susskind,3 myths about the future of work (and why they're not true),771K,"Informative, Fascinating"
14:35,Daniel Reisel,The neuroscience of restorative justice,770K,"Informative, Persuasive"
21:05,Bruce Schneier,The security mirage,770K,"Courageous, Informative"
17:01,Peter Eigen,How to expose the corrupt,768K,"Inspiring, Beautiful"
13:40,Mindy Scheier,How adaptive clothing empowers people with disabilities,768K,"Ingenious, Inspiring"
 5:34,Joshua Silver,Adjustable liquid-filled eyeglasses,768K,"Beautiful, Inspiring"
 9:25,Ahn Trio,"A modern take on piano, violin, cello",768K,"Inspiring, Informative"
15:15,Alessandra Orofino,It’s our city. Let’s fix it,766K,"Funny, Ingenious"
 4:45,Gabriel Barcia-Colombo,Capturing memories in video art,766K,"Fascinating, Persuasive"
14:24,Michael Metcalfe,We need money for aid. So let’s print it.,765K,"Informative, Fascinating"
14:23,Jonathan Eisen,Meet your microbes,765K,"Inspiring, Informative"
 4:48,Matthew Childs,9 life lessons from rock climbing,765K,"Beautiful, Fascinating"
10:08,Karen Bass,"Unseen footage, untamed nature",763K,"Inspiring, Persuasive"
10:51,Julia Bacha,Pay attention to nonviolence,763K,"Inspiring, Courageous"
11:54,Ronald S Sullivan Jr.,How I help free innocent people from prison,763K,"Funny, Ingenious"
 4:37,The TED Staff,"It's TED, the Musical",762K,"Inspiring, Persuasive"
16:01,Severine Autesserre,"To solve mass violence, look to locals",760K,"Inspiring, Informative"
13:33,John Cary,How architecture can create dignity for all,759K,"Inspiring, Informative"
20:06,George Papandreou,Imagine a European democracy without borders,759K,"Ingenious, Inspiring"
18:42,Joshua Prince-Ramus,Building a theater that remakes itself,758K,"Informative, Fascinating"
 9:56,Margaret Mitchell,"How we can build AI to help humans, not hurt us",757K,"Inspiring, Fascinating"
20:54,Marc Pachter,The art of the interview,757K,"Informative, Persuasive"
15:34,Hans Rosling,The good news of the decade? We're winning the war against child mortality,756K,"Ingenious, Fascinating"
 9:40,Fiorenzo Omenetto,"Silk, the ancient material of the future",756K,"Fascinating, Ingenious"
 6:06,Paul Debevec,Animating a photo-real digital face,756K,"Inspiring, Informative"
 4:43,David Sengeh,The sore problem of prosthetic limbs,755K,"Funny, Informative"
 7:01,Isabel Behncke,"Evolution's gift of play, from bonobo apes to humans",755K,"Fascinating, Informative"
19:28,Susan Blackmore,"Memes and ""temes""",754K,"Fascinating, Informative"
10:47,Chris Gerdes,"The future race car — 150mph, and no driver",753K,"Informative, Persuasive"
10:45,Trita Parsi,Iran and Israel: Peace is possible,753K,"Persuasive, Inspiring"
12:41,Jennifer Granholm,A clean energy proposal — race to the top!,753K,"Beautiful, Inspiring"
 6:09,"Amanda Palmer, Jherek Bischoff and Usman Riaz","""Space Oddity""",752K,"Inspiring, Persuasive"
14:08,Gary Slutkin,Let's treat violence like a contagious disease,752K,"Inspiring, Funny"
12:59,Madeleine  Albright,On being a woman and a diplomat,751K,"Inspiring, Fascinating"
21:14,Shekhar Kapur,We are the stories we tell ourselves,750K,"Inspiring, Informative"
12:53,Jacqueline Novogratz,Invest in Africa's own solutions,750K,"Informative, Persuasive"
14:52,Rebecca MacKinnon,Let's take back the Internet!,750K,"Inspiring, Courageous"
21:57,John Hockenberry,We are all designers,749K,"Ingenious, Inspiring"
21:20,Paul MacCready,A flight on solar wings,747K,"Beautiful, Inspiring"
 3:33,Jok Church,A circle of caring,747K,"Inspiring, Informative"
15:31,Jeff Skoll,My journey into movies that matter,747K,"Informative, Inspiring"
12:29,Brittney Cooper,The racial politics of time,747K,"Fascinating, Informative"
 7:53,Jon Nguyen,Tour the solar system from home,746K,"Inspiring, Informative"
11:47,Dale Dougherty,We are makers,744K,"Funny, Informative"
27:03,David Pogue,Cool tricks your phone can do,744K,"Fascinating, Informative"
14:37,Martin Hanczyc,The line between life and not-life,744K,"Inspiring, Persuasive"
18:05,Benjamin Barber,Why mayors should rule the world,743K,"Ingenious, Fascinating"
 4:19,Nathalie Miebach,Art made of storms,742K,"Informative, Fascinating"
15:45,Todd Humphreys,How to fool a GPS,741K,"Fascinating, Ingenious"
10:55,Peter Molyneux,"Meet Milo, the virtual boy",740K,"Fascinating, Informative"
 6:54,Don Levy,A cinematic journey through visual effects,739K,"Inspiring, Informative"
 8:35,Kevin Njabo,How we can stop Africa's scientific brain drain,737K,"Informative, Fascinating"
 8:10,Saki Mafundikwa,Ingenuity and elegance in ancient African alphabets,737K,"Inspiring, Courageous"
20:49,Ken Kamler,Medical miracle on Everest,737K,"Inspiring, Funny"
19:51,Jonathan Zittrain,The Web as random acts of kindness,737K,"Ingenious, Inspiring"
 4:46,Jane Chen,A warm embrace that saves lives,737K,"Fascinating, Informative"
12:34,Maurizio Seracini,The secret lives of paintings,736K,"Informative, Courageous"
 8:40,Fredy Peccerelli,"A forensic anthropologist who brings closure for the ""disappeared""",735K,"Funny, Fascinating"
10:46,Rives,Reinventing the encyclopedia game,735K,"Informative, Persuasive"
17:46,Jonathan Foley,The other inconvenient truth,733K,"Informative, Fascinating"
 4:43,Mike Gil,Could fish social networks help us save coral reefs?,732K,"Beautiful, Inspiring"
 5:11,Natalie MacMaster and Thomas Dolby,Cape Breton fiddling in reel time,731K,"Inspiring, Persuasive"
27:52,Bono,My wish: Three actions for Africa,731K,"Inspiring, Fascinating"
17:18,Neil Gershenfeld,Unleash your creativity in a Fab Lab,729K,"Inspiring, Informative"
16:43,James Stavridis,A Navy Admiral's thoughts on global security,729K,"Fascinating, Inspiring"
20:01,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",The interspecies internet? An idea in progress,728K,"Persuasive, Informative"
17:53,Maajid Nawaz,A global culture to fight extremism,726K,"Fascinating, Ingenious"
19:24,Robert Full,The sticky wonder of gecko feet,726K,"Beautiful, Inspiring"
 5:41,Robert Hammond,Building a park in the sky,725K,"Informative, Persuasive"
 5:18,Dianna Cohen,Tough truths about plastic pollution,725K,"Informative, Fascinating"
16:58,Eric Topol,The wireless future of medicine,724K,"Fascinating, Informative"
 6:15,Greg Gage,The cockroach beatbox,724K,"Inspiring, Informative"
25:50,Larry Brilliant,My wish: Help me stop pandemics,724K,"Funny, Persuasive"
16:00,Chris Bliss,Comedy is translation,724K,"Funny, Beautiful"
23:34,Carmen Agra Deedy,"Once upon a time, my mother ...",722K,"Informative, Inspiring"
14:47,Lisa Gansky,"The future of business is the ""mesh""",722K,"Beautiful, Ingenious"
15:44,Arthur Ganson,Moving sculpture,722K,"Inspiring, Funny"
16:41,Adam Garone,"Healthier men, one moustache at a time",721K,"Informative, Persuasive"
23:44,David Agus,A new strategy in the war on cancer,721K,"Inspiring, Ingenious"
 9:08,Dennis Hong,Making a car for blind drivers,720K,"Informative, Fascinating"
 9:54,Steven Cowley,Fusion is energy's future,720K,"Inspiring, Informative"
17:42,Yoruba Richen,What the gay rights movement learned from the civil rights movement,719K,"Informative, Persuasive"
19:47,Andreas Schleicher,Use data to build better schools,719K,"Funny, Beautiful"
 2:20,Nellie McKay,"""Clonie""",719K,"Informative, Fascinating"
14:03,Robert Neuwirth,The hidden world of shadow cities,719K,"Inspiring, Informative"
19:45,Ethan Zuckerman,Listening to global voices,719K,"Inspiring, Beautiful"
15:53,Krista Tippett,Reconnecting with compassion,718K,"Informative, Inspiring"
12:43,Noah Wilson-Rich,Every city needs healthy honey bees,718K,"Informative, Fascinating"
10:03,Steven Johnson,"How the ""ghost map"" helped end a killer disease",717K,"Informative, Fascinating"
22:20,Juan Enriquez,The life code that will reshape the future,717K,"Informative, Fascinating"
13:50,Greg Asner,Ecology from the air,717K,"Informative, Inspiring"
 7:35,Su Kahumbu,"How we can help hungry kids, one text at a time",716K,"Inspiring, Courageous"
12:35,Shameem Akhtar,To learn is to be free,716K,"Fascinating, Ingenious"
16:13,Yoav Medan,Ultrasound surgery — healing without cuts,716K,"Informative, Persuasive"
17:08,Cary Fowler,"One seed at a time, protecting the future of food",715K,"Beautiful, Fascinating"
21:35,David Macaulay,An illustrated journey through Rome,715K,"Fascinating, Ingenious"
18:13,Mark Roth,Suspended animation is within our grasp,714K,"Inspiring, Persuasive"
10:52,Jody Williams,A realistic vision for world peace,713K,"Informative, Fascinating"
16:03,Jan Chipchase,The anthropology of mobile phones,713K,"Informative, Ingenious"
11:35,Wolfgang Kessling,How to air-condition outdoor spaces,713K,"Inspiring, Fascinating"
22:17,Simon Lewis,Don't take consciousness for granted,711K,"Ingenious, Inspiring"
20:07,Dean Kamen,To invent is to give,710K,"Informative, Fascinating"
13:23,Read Montague,"What we're learning from 5,000 brains",709K,"Beautiful, Funny"
 3:33,Nellie McKay,"""The Dog Song""",709K,"Inspiring, Informative"
14:29,Alexis Charpentier,How record collectors find lost music and preserve our cultural heritage,708K,"Inspiring, Courageous"
10:48,Bob Inglis,American bipartisan politics can be saved — here's how,708K,"Ingenious, Informative"
 4:25,Ryan Merkley,"Online video — annotated, remixed and popped",707K,"Beautiful, Courageous"
 6:05,Anastasia Taylor-Lind,Fighters and mourners of the Ukrainian revolution,707K,"Fascinating, Informative"
18:55,Catherine Mohr,"Surgery's past, present and robotic future",707K,"Beautiful, Inspiring"
12:37,Cristina Domenech,Poetry that frees the soul,706K,"Courageous, Inspiring"
18:53,Lewis Pugh,How I swam the North Pole,706K,"Informative, Inspiring"
 7:57,Touria El Glaoui,Inside Africa's thriving art scene,706K,"Informative, Fascinating"
14:02,David Pizarro,The strange politics of disgust,706K,"Beautiful, Fascinating"
10:36,Eric Lewis,Piano jazz that rocks,705K,"Inspiring, Beautiful"
18:44,Jeff Bezos,What matters more than your talents,703K,"Inspiring, Informative"
16:55,Hilary Cottam,Social services are broken. How we can fix them,703K,"Inspiring, Persuasive"
16:18,Damon Horowitz,"We need a ""moral operating system""",703K,"Fascinating, Informative"
15:11,Lee Cronin,Making matter come alive,702K,"Inspiring, Ingenious"
20:42,Willie Smits,How to restore a rainforest,702K,"Informative, Inspiring"
16:18,Joel Selanikio,The big-data revolution in healthcare,702K,"Informative, Persuasive"
 3:21,Kirk Citron,"And now, the real news",701K,"Inspiring, Informative"
13:14,Teddy Cruz,How architectural innovations migrate across borders,700K,"Fascinating, Informative"
20:53,Spencer Wells,A family tree for humanity,700K,"Inspiring, Funny"
 3:02,Taylor Mali,What teachers make,698K,"Inspiring, Informative"
20:40,Thom Mayne,How architecture can connect us,696K,"Inspiring, Courageous"
 8:50,Peter Ouko,From death row to law graduate,694K,"Funny, Inspiring"
17:30,Maira Kalman,The illustrated woman,693K,"Ingenious, Fascinating"
11:45,Kate Stone,DJ decks made of ... paper,693K,"Inspiring, Beautiful"
15:44,Ron McCallum,How technology allowed me to read,692K,"Funny, Inspiring"
 8:38,Robin Ince,Science versus wonder?,691K,"Inspiring, Informative"
 5:33,Tim Berners-Lee,The year open data went worldwide,691K,"Inspiring, Beautiful"
17:55,Raghava KK,My 5 lives as an artist,691K,"Informative, Persuasive"
25:18,Irwin Redlener,How to survive a nuclear attack,691K,"Courageous, Inspiring"
19:40,Ingrid Betancourt,What six years in captivity taught me about fear and faith,690K,"Informative, Persuasive"
11:15,Ellen  Gustafson,Obesity + hunger = 1 global food issue,690K,"Beautiful, Fascinating"
 5:41,Caroline Phillips,Hurdy-gurdy for beginners,689K,"Informative, Persuasive"
19:23,Ellen Dunham-Jones,Retrofitting suburbia,688K,"Informative, Fascinating"
15:36,Louise Leakey,A dig for humanity's origins,688K,"Inspiring, Persuasive"
 6:29,Silk Road Ensemble,"""Turceasca""",686K,"Informative, Persuasive"
 6:16,Geoff Mulgan,A short intro to the Studio School,685K,"Inspiring, Informative"
16:42,Stewart Brand,4 environmental 'heresies',685K,"Inspiring, Informative"
 5:39,Aziza Chaouni,"How I brought a river, and my city, back to life",684K,"Fascinating, Ingenious"
10:53,Sheikha Al Mayassa,"Globalizing the local, localizing the global",683K,"Inspiring, Fascinating"
10:00,Jared Ficklin,New ways to see music (with color! and fire!),682K,"Informative, Persuasive"
 9:06,David Binder,The arts festival revolution,682K,"Funny, Fascinating"
14:41,Romina Libster,The power of herd immunity,680K,"Ingenious, Fascinating"
17:36,Alison Jackson,An unusual glimpse at celebrity,679K,"Fascinating, Beautiful"
11:43,Magnus Larsson,Turning dunes into architecture,679K,"Informative, Ingenious"
 8:02,Eddy Cartaya,My glacier cave discoveries,678K,"Fascinating, Ingenious"
16:36,Aris Venetikidis,Making sense of maps,677K,"Inspiring, Courageous"
11:54,Robert Full,Learning from the gecko's tail,676K,"Inspiring, Courageous"
10:44,Shirin Neshat,Art in exile,676K,"Courageous, Inspiring"
12:49,Natalie Warne,Being young and making an impact,676K,"Informative, Persuasive"
 7:49,"Mwende ""FreeQuency"" Katwiwa",Black life at the intersection of birth and death,675K,"Informative, Fascinating"
16:31,Bobby Ghosh,Why global jihad is losing,674K,"Inspiring, Courageous"
13:12,Lauren Zalaznick,The conscience of television,674K,"Beautiful, Inspiring"
17:50,George Ayittey,Africa's cheetahs versus hippos,673K,"Persuasive, Informative"
25:05,Herbie Hancock,An all-star set,672K,"Inspiring, Persuasive"
20:02,Rory Stewart,Time to end the war in Afghanistan,672K,"Inspiring, Beautiful"
13:59,David Cameron,The next age of government,672K,"Ingenious, Fascinating"
13:11,Stefon Harris,There are no mistakes on the bandstand,671K,"Ingenious, Fascinating"
15:46,Carlo Ratti,Architecture that senses and responds,671K,"Informative, Fascinating"
12:06,Liz Diller,A new museum wing ... in a giant bubble,669K,"Inspiring, Informative"
 8:08,JP Rangaswami,Information is food,669K,"Beautiful, Inspiring"
22:55,Anil Gupta,India's hidden hotbeds of invention,668K,"Ingenious, Fascinating"
 4:26,Jackson Browne,A song inspired by the ocean,668K,"Fascinating, Beautiful"
 6:25,Gary Flake,Is Pivot a turning point for web exploration?,668K,"Inspiring, Ingenious"
19:31,Richard Preston,The mysterious lives of giant trees,667K,"Fascinating, Informative"
 7:45,Nilay Kulkarni,A life-saving invention that prevents human stampedes,666K,"Inspiring, Fascinating"
11:48,Iain McGilchrist,The divided brain,664K,"Inspiring, Courageous"
16:36,Thomas P. Campbell,Weaving narratives in museum galleries,635K,"Funny, Ingenious"
16:57,Diana Nyad,Extreme swimming with the world's most dangerous jellyfish,633K,"Inspiring, Ingenious"
 7:34,Sebastian Wernicke,"1,000 TED Talks in six words",633K,"Courageous, Inspiring"
19:40,R.A. Mashelkar,Breakthrough designs for ultra-low-cost products,632K,"Informative, Persuasive"
19:32,Tom Honey,Why would God create a tsunami?,631K,"Inspiring, Courageous"
13:41,Mohamed Hijri,A simple solution to the coming phosphorus crisis,631K,"Informative, Inspiring"
16:26,Susan Lim,"Transplant cells, not organs",630K,"Fascinating, Ingenious"
18:35,George Whitesides,Toward a science of simplicity,629K,"Persuasive, Inspiring"
 5:35,Amit Sood,Building a museum of museums on the web,629K,"Fascinating, Ingenious"
18:21,Philip K. Howard,Four ways to fix a broken legal system,628K,"Informative, Fascinating"
19:24,Liz Diller,The Blur Building and other tech-empowered architecture,628K,"Informative, Persuasive"
15:54,Iain Hutchison,Saving faces: A facial surgeon's craft,626K,"Fascinating, Informative"
11:06,Simone Bianco and Tom Zimmerman,The wonderful world of life in a drop of water,626K,"Funny, Ingenious"
17:34,Gero Miesenboeck,Re-engineering the brain,626K,"Informative, Persuasive"
19:55,Tom Rielly,A comic sendup of TED2006,624K,"Ingenious, Informative"
19:42,T. Boone Pickens,Let's transform energy — with natural gas,623K,"Ingenious, Informative"
 4:12,John La Grou,A plug for smart power outlets,622K,"Inspiring, Informative"
19:55,Bill Gross,A solar energy system that tracks the sun,621K,"Inspiring, Beautiful"
 7:27,Alvin Irby,How to inspire every child to be a lifelong reader,621K,"Funny, Ingenious"
14:29,Musimbi Kanyoro,"To solve the world's biggest problems, invest in women and girls",620K,"Informative, Inspiring"
 4:15,David Pogue,The music wars,620K,"Persuasive, Informative"
16:28,Dennis vanEngelsdorp,A plea for bees,620K,"Funny, Beautiful"
20:01,Jonathan Haidt,How common threats can make common (political) ground,618K,"Inspiring, Beautiful"
 2:43,Jill Sobule,"Global warming's theme song, ""Manhattan in January""",618K,"Inspiring, Persuasive"
15:08,Eames Demetrios,The design genius of Charles + Ray Eames,617K,"Inspiring, Informative"
17:56,Steve Keil,"A manifesto for play, for Bulgaria and beyond",617K,"Beautiful, Fascinating"
15:43,Jaime Lerner,A song of the city,617K,"Informative, Fascinating"
14:53,Golan Levin,Software (as) art,616K,"Informative, Fascinating"
18:47,Rodney Brooks,Robots will invade our lives,615K,"Informative, Inspiring"
 9:25,Tom Wujec,Learn to use the 13th-century astrolabe,615K,"Inspiring, Courageous"
 9:48,Richard Sears,Planning for the end of oil,614K,"Informative, Ingenious"
 6:45,Robert Hakiza,"Refugees want empowerment, not handouts",611K,"Informative, Ingenious"
13:30,Lian Pin Koh,A drone's-eye view of conservation,610K,"Inspiring, Courageous"
 8:46,Rob Harmon,How to keep rivers and streams flowing,608K,"Inspiring, Persuasive"
16:07,Ananda Shankar Jayant,Fighting cancer with dance,606K,"Funny, Ingenious"
 9:45,Halla Tómasdóttir,A feminine response to Iceland's financial crash,606K,"Inspiring, Courageous"
 4:48,Allison Hunt,How to get (a new) hip,582K,"Courageous, Fascinating"
1h 16m,Randy Pausch,Really achieving your childhood dreams,581K,"Informative, Fascinating"
14:30,Steve Truglia,A leap from the edge of space,581K,"Courageous, Inspiring"
 9:12,Larry Burns,The future of cars,580K,"Informative, Fascinating"
 4:44,Monika Bulaj,The hidden light of Afghanistan,576K,"Inspiring, Beautiful"
 6:34,Jonathan Drori,Why we're storing billions of seeds,576K,"Inspiring, Courageous"
16:51,Rogier van der Heide,Why light needs darkness,576K,"Informative, Inspiring"
13:15,Minda Dentler,What I learned when I conquered the world's toughest triathlon,574K,"Beautiful, Inspiring"
10:04,Rose Goslinga,"Crop insurance, an idea worth seeding",572K,"Ingenious, Fascinating"
 4:09,Lakshmi Pratury,The lost art of letter-writing,572K,"Inspiring, Persuasive"
 5:16,Péter Fankhauser,"Meet Rezero, the dancing ballbot",571K,"Fascinating, Informative"
13:16,Gayle Tzemach Lemmon,"Women entrepreneurs, example not exception",570K,"Informative, Fascinating"
